"","slide","initalAOI","fixationTime","correctedAOI"
"299","4.bmp",4,0.21434,9
"300","4.bmp",9,0.3286,6
"301","4.bmp",8,0.37711,3
"302","4.bmp",5,0.62489,4
"303","4.bmp",9,0.24521,6
"304","4.bmp",8,0.23091,3
"305","4.bmp",4,0.47649,9
"306","5.bmp",5,0.75644,9
"307","5.bmp",4,0.22916,3
"308","5.bmp",0,0.32851,0
"309","5.bmp",0,0.22939,0
"310","5.bmp",9,0.29469,1
"311","5.bmp",6,0.36037,7
"312","5.bmp",5,0.43246,9
"313","5.bmp",0,0.37767,0
"314","5.bmp",7,0.31184,5
"315","5.bmp",5,0.21352,9
"316","5.bmp",1,0.27817,2
"317","5.bmp",3,0.19765,4
"318","5.bmp",6,0.19725,7
"319","5.bmp",9,0.2139,1
"320","5.bmp",8,0.2299,8
"321","5.bmp",7,0.21338,5
"322","5.bmp",4,0.21364,3
"323","5.bmp",5,0.22972,9
"324","5.bmp",2,0.21355,6
"325","5.bmp",2,0.21381,6
"326","5.bmp",5,0.24527,9
"327","5.bmp",4,0.31335,3
"328","5.bmp",1,0.26271,2
"329","5.bmp",6,0.19836,7
"330","5.bmp",3,0.24638,4
"331","5.bmp",9,0.21391,1
"332","5.bmp",3,0.38565,4
"333","5.bmp",1,0.32854,2
"334","5.bmp",3,0.21365,4
"335","5.bmp",3,0.32928,4
"336","5.bmp",6,0.47632,7
"337","5.bmp",3,0.22995,4
"338","5.bmp",3,0.65718,4
"339","6.bmp",9,0.47653,1
"340","6.bmp",8,0.31201,8
"341","6.bmp",1,0.5424,5
"342","6.bmp",5,0.65617,4
"343","6.bmp",9,0.19624,1
"344","6.bmp",4,0.21751,7
"345","6.bmp",5,0.27971,4
"346","6.bmp",9,0.36084,1
"347","6.bmp",8,0.55893,8
"348","6.bmp",9,0.24649,1
"349","6.bmp",4,0.42735,7
"350","6.bmp",4,0.3279,7
"351","7.bmp",0,0.52615,0
"352","7.bmp",6,0.37691,9
"353","7.bmp",2,0.24651,5
"354","7.bmp",2,0.31194,5
"355","7.bmp",5,0.29576,1
"356","7.bmp",4,0.21333,6
"357","7.bmp",5,0.23654,1
"358","7.bmp",6,0.22993,9
"359","7.bmp",9,0.21243,2
"360","7.bmp",2,0.20091,5
"361","7.bmp",9,0.41017,2
"362","7.bmp",6,0.21362,9
"363","7.bmp",3,0.22992,4
"364","7.bmp",1,0.29553,3
"365","7.bmp",4,0.24669,6
"366","7.bmp",4,0.13141,6
"367","7.bmp",6,0.21367,9
"368","7.bmp",0,0.22972,0
"369","7.bmp",8,0.24818,7
"370","7.bmp",7,0.08209,8
