"","slide","initialAOI","fixationTime","correctedAOI","Transition"
"198","2.bmp",4,0.14726,3,"Invalid"
"199","2.bmp",8,0.23026,7,"Invalid"
"200","2.bmp",9,0.59097,6,"Invalid"
"201","2.bmp",7,0.75378,2,"Invalid"
"202","2.bmp",6,0.21304,4,"Invalid"
"203","2.bmp",2,0.24657,8,"Invalid"
"204","2.bmp",6,0.37755,4,"Invalid"
"205","2.bmp",8,0.30283,7,"Surface"
"206","2.bmp",9,0.22629,6,"Invalid"
"207","2.bmp",5,0.21295,1,"Invalid"
"208","2.bmp",2,0.26286,8,"Invalid"
"209","2.bmp",3,0.24698,9,"Meaningful"
"210","2.bmp",1,0.52519,5,"Invalid"
"211","2.bmp",5,0.31223,1,"Invalid"
"212","2.bmp",7,0.26364,2,"Meaningful"
"213","2.bmp",4,0.59091,3,"Meaningful"
"214","2.bmp",9,0.37817,6,"Surface"
"215","2.bmp",8,0.42929,7,"Invalid"
"216","2.bmp",7,0.36185,2,"Invalid"
"217","2.bmp",4,0.52538,3,"Meaningful"
"218","2.bmp",1,0.24686,5,"Invalid"
"219","2.bmp",2,0.36078,8,"Surface"
"220","2.bmp",6,0.2469,4,"Invalid"
"221","2.bmp",5,1.06775,1,"Surface"
"222","2.bmp",6,0.31203,4,"Surface"
"223","2.bmp",5,0.83804,1,"Surface"
"224","2.bmp",8,0.96935,7,"Surface"
"225","2.bmp",6,0.22951,4,"Surface"
"226","2.bmp",5,0.49277,1,"Surface"
"227","2.bmp",3,0.2133,9,"Invalid"
"228","2.bmp",6,0.41064,4,"Invalid"
"229","2.bmp",5,0.64095,1,"Surface"
"230","2.bmp",8,0.36545,7,"Surface"
"231","2.bmp",5,0.23077,1,"Surface"
"232","2.bmp",3,0.2132,9,"Invalid"
"233","2.bmp",2,0.19713,8,"Meaningful"
"234","2.bmp",1,0.24684,5,"Surface"
"235","2.bmp",6,0.29594,4,"Meaningful"
"236","2.bmp",8,1.03603,7,"Surface"
"237","2.bmp",6,0.82071,4,"Surface"
"238","2.bmp",5,0.57492,1,"Surface"
"239","2.bmp",2,0.24704,8,"Invalid"
"240","2.bmp",3,0.26283,9,"Meaningful"
"241","2.bmp",5,0.60735,1,"Invalid"
"242","2.bmp",8,0.5737,7,"Surface"
"243","2.bmp",4,0.82108,3,"Invalid"
"244","2.bmp",9,1.27779,6,"Surface"
"245","2.bmp",2,0.60252,8,"Invalid"
"246","2.bmp",3,0.2139,9,"Meaningful"
"247","2.bmp",2,0.51872,8,"Meaningful"
"248","2.bmp",3,0.98816,9,"Meaningful"
"249","2.bmp",5,1.05672,1,"Invalid"
"250","2.bmp",8,0.32907,7,"Surface"
"251","2.bmp",6,1.24913,4,"Surface"
"252","2.bmp",5,0.87025,1,"Surface"
"253","2.bmp",3,0.75607,9,"Invalid"
"254","2.bmp",1,0.21362,5,"Invalid"
"255","2.bmp",3,1.11693,9,"Invalid"
"256","2.bmp",6,0.21297,4,"Invalid"
"257","2.bmp",5,0.27885,1,"Surface"
"258","2.bmp",4,1.04313,3,"Meaningful"
"259","2.bmp",7,0.26295,2,"Meaningful"
"260","2.bmp",5,0.87039,1,"Meaningful"
"261","2.bmp",2,2.74384,8,"Invalid"
"262","2.bmp",1,0.23055,5,"Surface"
"263","2.bmp",9,1.28114,6,"Meaningful"
"264","2.bmp",2,0.21431,8,"Invalid"
"265","3.bmp",5,1.19971,1,"Invalid"
"266","3.bmp",2,3.03956,7,"Surface"
"267","3.bmp",1,0.23016,3,"Invalid"
"268","3.bmp",8,0.78847,4,"Invalid"
"269","3.bmp",4,0.47595,2,"Invalid"
"270","3.bmp",1,0.21262,3,"Meaningful"
"271","3.bmp",3,0.41835,9,"Surface"
"272","3.bmp",6,0.49297,6,"Surface"
"273","3.bmp",5,0.60825,1,"Invalid"
"274","3.bmp",6,0.2352,6,"Invalid"
"275","3.bmp",7,0.16469,8,"Invalid"
"276","3.bmp",4,0.37752,2,"Surface"
"277","3.bmp",5,0.3624,1,"Meaningful"
"278","3.bmp",6,0.29587,6,"Invalid"
"279","3.bmp",5,0.4783,1,"Invalid"
"280","3.bmp",2,0.32877,7,"Surface"
"281","3.bmp",8,0.49271,4,"Surface"
"282","3.bmp",3,0.32892,9,"Invalid"
"283","3.bmp",2,0.90381,7,"Meaningful"
"284","3.bmp",3,0.34573,9,"Meaningful"
"285","3.bmp",1,0.2659,3,"Surface"
"286","3.bmp",4,0.24597,2,"Meaningful"
"287","3.bmp",5,0.62375,1,"Meaningful"
"288","3.bmp",8,1.26483,4,"Surface"
"289","3.bmp",5,0.57473,1,"Surface"
"290","3.bmp",6,0.26282,6,"Invalid"
"291","3.bmp",3,0.23083,9,"Surface"
"292","3.bmp",1,0.21768,3,"Surface"
"293","3.bmp",4,0.32846,2,"Meaningful"
"294","3.bmp",5,0.26315,1,"Meaningful"
"295","3.bmp",8,1.24814,4,"Surface"
"296","3.bmp",5,0.49295,1,"Surface"
"297","3.bmp",4,0.60754,2,"Meaningful"
"298","3.bmp",6,0.2139,6,"Invalid"
"299","3.bmp",7,0.21329,8,"Invalid"
"300","3.bmp",6,0.69583,6,"Invalid"
"301","3.bmp",3,0.32864,9,"Surface"
"302","3.bmp",1,0.62479,3,"Surface"
"303","3.bmp",4,0.44577,2,"Meaningful"
"304","3.bmp",5,0.27951,1,"Meaningful"
"305","3.bmp",6,1.11758,6,"Invalid"
"306","3.bmp",3,0.3941,9,"Surface"
"307","3.bmp",4,0.21497,2,"Invalid"
"308","3.bmp",3,0.29834,9,"Invalid"
"309","3.bmp",6,0.41052,6,"Surface"
"310","3.bmp",7,0.19611,8,"Invalid"
"311","3.bmp",3,0.22925,9,"Meaningful"
"312","3.bmp",4,0.4588,2,"Invalid"
"313","3.bmp",5,0.39423,1,"Meaningful"
"314","3.bmp",6,0.79849,6,"Invalid"
"315","3.bmp",5,0.22974,1,"Invalid"
"316","3.bmp",6,1.22897,6,"Invalid"
"317","3.bmp",5,0.5748,1,"Invalid"
"318","3.bmp",6,0.29526,6,"Invalid"
"319","3.bmp",5,0.64038,1,"Invalid"
"320","3.bmp",1,0.2142,3,"Meaningful"
"321","3.bmp",2,0.37958,7,"Invalid"
"322","3.bmp",4,0.27905,2,"Invalid"
"323","3.bmp",6,3.25265,6,"Invalid"
"324","3.bmp",5,1.16781,1,"Invalid"
"325","3.bmp",6,1.88211,6,"Invalid"
"326","4.bmp",8,0.2139,9,"Invalid"
"327","4.bmp",4,1.01871,5,"Invalid"
"328","4.bmp",5,0.44431,7,"Invalid"
"329","4.bmp",2,0.37808,3,"Invalid"
"330","4.bmp",1,0.28995,8,"Invalid"
"331","4.bmp",3,0.18182,1,"Invalid"
"332","4.bmp",2,0.70666,3,"Meaningful"
"333","4.bmp",3,0.18076,1,"Meaningful"
"334","4.bmp",5,0.24625,7,"Surface"
"335","4.bmp",9,0.34494,2,"Invalid"
"336","4.bmp",6,0.2131,6,"Invalid"
"337","4.bmp",1,0.19702,8,"Invalid"
"338","4.bmp",2,0.52652,3,"Invalid"
"339","4.bmp",3,0.345,1,"Meaningful"
"340","4.bmp",2,0.83767,3,"Meaningful"
"341","4.bmp",4,0.2793,5,"Invalid"
"342","4.bmp",7,0.27884,4,"Meaningful"
"343","4.bmp",5,0.40997,7,"Surface"
"344","4.bmp",6,0.62384,6,"Invalid"
"345","4.bmp",9,0.36154,2,"Invalid"
"346","4.bmp",6,0.59167,6,"Invalid"
"347","4.bmp",2,1.1337,3,"Surface"
"348","4.bmp",1,0.51266,8,"Invalid"
"349","4.bmp",8,0.50882,9,"Meaningful"
"350","4.bmp",9,0.32785,2,"Invalid"
"351","4.bmp",6,0.3114,6,"Invalid"
"352","4.bmp",3,0.22986,1,"Invalid"
"353","4.bmp",5,0.21347,7,"Surface"
"354","4.bmp",6,0.45999,6,"Invalid"
"355","4.bmp",4,0.27884,5,"Meaningful"
"356","4.bmp",7,0.45938,4,"Meaningful"
"357","4.bmp",3,0.34506,1,"Surface"
"358","4.bmp",5,0.39468,7,"Surface"
"359","4.bmp",6,0.57224,6,"Invalid"
"360","4.bmp",2,0.24673,3,"Surface"
"361","4.bmp",3,0.26279,1,"Meaningful"
"362","4.bmp",2,0.2963,3,"Meaningful"
"363","4.bmp",4,0.3121,5,"Invalid"
"364","4.bmp",5,0.37796,7,"Invalid"
"365","4.bmp",7,0.22928,4,"Surface"
"366","4.bmp",4,0.27869,5,"Meaningful"
"367","4.bmp",5,0.23318,7,"Invalid"
"368","4.bmp",6,0.24655,6,"Invalid"
"369","4.bmp",9,0.45621,2,"Invalid"
"370","4.bmp",3,0.29565,1,"Meaningful"
"371","4.bmp",2,0.52478,3,"Meaningful"
"372","4.bmp",1,1.15048,8,"Invalid"
"373","4.bmp",3,0.23059,1,"Invalid"
"374","4.bmp",6,0.68939,6,"Invalid"
"375","4.bmp",8,2.10345,9,"Surface"
"376","4.bmp",5,0.55878,7,"Meaningful"
"377","4.bmp",4,0.9614,5,"Invalid"
"378","4.bmp",6,1.35037,6,"Meaningful"
"379","4.bmp",4,0.27872,5,"Meaningful"
"380","4.bmp",7,0.26273,4,"Meaningful"
"381","4.bmp",4,0.24673,5,"Meaningful"
"382","4.bmp",2,0.34473,3,"Invalid"
"383","4.bmp",1,0.82392,8,"Invalid"
"384","4.bmp",2,0.2623,3,"Invalid"
