,slide,initialAOI,fixationTime,correctedAOI,Transition
187,2.bmp,5,0.26303,8,Invalid
188,2.bmp,2,0.24648,3,Invalid
189,2.bmp,6,0.67386,4,Invalid
190,2.bmp,3,1.03447,1,Surface
191,2.bmp,4,0.49268,6,Invalid
192,2.bmp,5,0.78158,8,Invalid
193,2.bmp,9,0.19714,2,Surface
194,2.bmp,8,0.27916,5,Surface
195,3.bmp,5,0.55859,4,Invalid
196,3.bmp,8,0.23035,5,Meaningful
197,3.bmp,1,0.21301,2,Surface
198,3.bmp,7,0.90247,6,Invalid
199,3.bmp,5,0.70429,4,Meaningful
200,3.bmp,9,0.19688,9,Invalid
201,3.bmp,6,0.29587,1,Invalid
202,3.bmp,5,0.34526,4,Surface
203,3.bmp,8,1.16529,5,Meaningful
204,3.bmp,5,0.41043,4,Meaningful
205,3.bmp,8,1.37983,5,Meaningful
206,3.bmp,5,0.59131,4,Meaningful
207,3.bmp,8,0.80466,5,Meaningful
208,3.bmp,7,0.44135,6,Meaningful
209,3.bmp,4,0.21448,3,Surface
210,3.bmp,1,0.22987,2,Meaningful
211,3.bmp,9,0.22966,9,Invalid
212,3.bmp,6,0.21227,1,Invalid
213,3.bmp,3,0.2972,7,Surface
214,3.bmp,2,0.26262,8,Meaningful
215,3.bmp,4,0.31204,3,Invalid
216,3.bmp,7,0.14795,6,Surface
217,3.bmp,9,0.26616,9,Surface
218,3.bmp,5,0.82204,4,Invalid
219,3.bmp,2,0.19702,8,Invalid
220,3.bmp,1,0.32875,2,Surface
221,3.bmp,5,0.57526,4,Invalid
222,3.bmp,8,0.27939,5,Meaningful
223,3.bmp,1,0.27925,2,Surface
224,3.bmp,3,0.27872,7,Invalid
225,3.bmp,6,0.5585,1,Surface
226,3.bmp,9,0.24634,9,Invalid
227,3.bmp,7,0.23071,6,Surface
228,3.bmp,5,0.54118,4,Meaningful
229,3.bmp,6,0.22993,1,Surface
230,3.bmp,3,0.23166,7,Surface
231,3.bmp,2,0.2301,8,Meaningful
232,3.bmp,1,0.36142,2,Surface
233,3.bmp,2,0.70723,8,Surface
234,3.bmp,5,0.96821,4,Invalid
235,3.bmp,9,0.21385,9,Invalid
236,3.bmp,6,0.47673,1,Invalid
237,3.bmp,1,0.77258,2,Meaningful
238,3.bmp,3,0.95344,7,Invalid
239,3.bmp,6,0.34474,1,Surface
240,3.bmp,4,0.5749,3,Meaningful
241,3.bmp,6,0.04921,1,Meaningful
242,3.bmp,8,0.24657,5,Invalid
243,3.bmp,2,0.69108,8,Surface
244,3.bmp,1,0.21417,2,Surface
245,3.bmp,2,0.04881,8,Surface
246,3.bmp,1,0.26303,2,Surface
247,3.bmp,4,0.24654,3,Meaningful
248,3.bmp,2,0.21382,8,Invalid
249,3.bmp,1,0.57281,2,Surface
250,3.bmp,4,0.61091,3,Meaningful
251,3.bmp,1,0.21425,2,Meaningful
252,3.bmp,5,0.23,4,Invalid
253,3.bmp,6,0.4473,1,Surface
